1;1;Ligue o forno a cento e oitenta graus|
1;2;Parta dois ovos para uma taça|
1;3;Colocar os ovos no liquidificador|
1;4;Rale uma cenoura grande|
1;5;Acrescente ao liquidificador|
1;6;Verta meia chávena de leite no liquidificador|
1;7;Acrescente três colheres de sopa de óleo de coco|
1;8;Ligue o liquidificador a uma velocidade média durante cinco minútos|
1;9;Coloque duas colheres de sopa de aveia em flocos num recipiente|
1;10;Junte uma chávena de farinha de aveia ao conteúdo do recipiente|
1;11;Acrescente três colheres de sopa de adoçante|
1;12;Verta o conteúdo do liquidificador no recipiente|
1;13;Misture tudo muito bem até atingir uma consistência homogénea|
1;14;Junte uma colher de sopa de fermento ao preparado|
1;15;Misture tudo muito bem novamente|
1;16;Por fim, coloque o preparado no forno pré aquecido durante cerca de uma hora|
